dznrm2           RCnrm2
dzasum           RCasum
idamax           iRamax
izamax           iCamax
xerbla           Mxerbla
xerbla_array     Mxerbla_array
lsame            Mlsame
dcabs1           RCabs1
zdcal            CRscal
dlamch           Rlamch
ilaenv           iMlaenv
zdrot            CRrot
zdscal           CRscal
zdrscl           CRrscl
dzsum1           RCsum1
izmax1           iCmax1
iparmq           iMparmq
ieeeck           iMieeeck
ilauplo          iMlauplo
dlamc3           Rlamc3
ilaenv2stage     iMlaenv2stage
iladlc           iMladlc
iladlr           iMladlr
ilazlc           iMlazlc
ilazlr           iMlazlr
ilatrans         iMlatrans
iparam2stage     iMparam2stage
dladiv2          Rladiv2
la_isnan         Mla_isnan
ilaprec          iMlaprec
lsamen           Mlsamen
dasum            Rasum
daxpy            Raxpy
dcopy            Rcopy
ddot             Rdot
dgbmv            Rgbmv
dgemm            Rgemm
dgemv            Rgemv
dger             Rger
dnrm2            Rnrm2
drot             Rrot
drotg            Rrotg
drotm            Rrotm
drotmg           Rrotmg
dsbmv            Rsbmv
dscal            Rscal
dspmv            Rspmv
dspr             Rspr
dspr2            Rspr2
dswap            Rswap
dsymm            Rsymm
dsymv            Rsymv
dsyr             Rsyr
dsyr2            Rsyr2
dsyr2k           Rsyr2k
dsyrk            Rsyrk
dtbmv            Rtbmv
dtbsv            Rtbsv
dtpmv            Rtpmv
dtpsv            Rtpsv
dtrmm            Rtrmm
dtrmv            Rtrmv
dtrsm            Rtrsm
dtrsv            Rtrsv
zaxpy            Caxpy
zcopy            Ccopy
zdotc            Cdotc
zdotu            Cdotu
zgbmv            Cgbmv
zgemm            Cgemm
zgemv            Cgemv
zgerc            Cgerc
zgeru            Cgeru
zhbmv            Chbmv
zhemm            Chemm
zhemv            Chemv
zher             Cher
zher2            Cher2
zher2k           Cher2k
zherk            Cherk
zhpmv            Chpmv
zhpr             Chpr
zhpr2            Chpr2
zrotg            Crotg
zscal            Cscal
zswap            Cswap
zsymm            Csymm
zsyr2k           Csyr2k
zsyrk            Csyrk
ztbmv            Ctbmv
ztbsv            Ctbsv
ztpmv            Ctpmv
ztpsv            Ctpsv
ztrmm            Ctrmm
ztrmv            Ctrmv
ztrsm            Ctrsm
ztrsv            Ctrsv
dbbcsd           Rbbcsd
dbdsdc           Rbdsdc
dbdsqr           Rbdsqr
dbdsvdx          Rbdsvdx
dcombssq         Rcombssq
ddisna           Rdisna
dgbbrd           Rgbbrd
dgbcon           Rgbcon
dgbequ           Rgbequ
dgbequb          Rgbequb
dgbrfs           Rgbrfs
dgbrfsx          Rgbrfsx
dgbsv            Rgbsv
dgbsvx           Rgbsvx
dgbsvxx          Rgbsvxx
dgbtf2           Rgbtf2
dgbtrf           Rgbtrf
dgbtrs           Rgbtrs
dgebak           Rgebak
dgebal           Rgebal
dgebd2           Rgebd2
dgebrd           Rgebrd
dgecon           Rgecon
dgeequ           Rgeequ
dgeequb          Rgeequb
dgees            Rgees
dgeesx           Rgeesx
dgeev            Rgeev
dgeevx           Rgeevx
dgehd2           Rgehd2
dgehrd           Rgehrd
dgejsv           Rgejsv
dgelq            Rgelq
dgelq2           Rgelq2
dgelqf           Rgelqf
dgelqt           Rgelqt
dgelqt3          Rgelqt3
dgels            Rgels
dgelsd           Rgelsd
dgelss           Rgelss
dgelsy           Rgelsy
dgemlq           Rgemlq
dgemlqt          Rgemlqt
dgemqr           Rgemqr
dgemqrt          Rgemqrt
dgeql2           Rgeql2
dgeqlf           Rgeqlf
dgeqp3           Rgeqp3
dgeqr            Rgeqr
dgeqr2           Rgeqr2
dgeqr2p          Rgeqr2p
dgeqrf           Rgeqrf
dgeqrfp          Rgeqrfp
dgeqrt           Rgeqrt
dgeqrt2          Rgeqrt2
dgeqrt3          Rgeqrt3
dgerfs           Rgerfs
dgerfsx          Rgerfsx
dgerq2           Rgerq2
dgerqf           Rgerqf
dgesc2           Rgesc2
dgesdd           Rgesdd
dgesv            Rgesv
dgesvd           Rgesvd
dgesvdq          Rgesvdq
dgesvdx          Rgesvdx
dgesvj           Rgesvj
dgesvx           Rgesvx
dgesvxx          Rgesvxx
dgetc2           Rgetc2
dgetf2           Rgetf2
dgetrf           Rgetrf
dgetrf2          Rgetrf2
dgetri           Rgetri
dgetrs           Rgetrs
dgetsls          Rgetsls
dgetsqrhrt       Rgetsqrhrt
dggbak           Rggbak
dggbal           Rggbal
dgges            Rgges
dgges3           Rgges3
dggesx           Rggesx
dggev            Rggev
dggev3           Rggev3
dggevx           Rggevx
dggglm           Rggglm
dgghd3           Rgghd3
dgghrd           Rgghrd
dgglse           Rgglse
dggqrf           Rggqrf
dggrqf           Rggrqf
dggsvd3          Rggsvd3
dggsvp3          Rggsvp3
dgsvj0           Rgsvj0
dgsvj1           Rgsvj1
dgtcon           Rgtcon
dgtrfs           Rgtrfs
dgtsv            Rgtsv
dgtsvx           Rgtsvx
dgttrf           Rgttrf
dgttrs           Rgttrs
dgtts2           Rgtts2
dhgeqz           Rhgeqz
dhsein           Rhsein
dhseqr           Rhseqr
disnan           Risnan
dla_gbamv        Rla_gbamv
dla_gbrcond      Rla_gbrcond
dla_gbrfsx_extended Rla_gbrfsx_extended
dla_gbrpvgrw     Rla_gbrpvgrw
dla_geamv        Rla_geamv
dla_gercond      Rla_gercond
dla_gerfsx_extended Rla_gerfsx_extended
dla_gerpvgrw     Rla_gerpvgrw
dla_lin_berr     Rla_lin_berr
dla_porcond      Rla_porcond
dla_porfsx_extended Rla_porfsx_extended
dla_porpvgrw     Rla_porpvgrw
dla_syamv        Rla_syamv
dla_syrcond      Rla_syrcond
dla_syrfsx_extended Rla_syrfsx_extended
dla_syrpvgrw     Rla_syrpvgrw
dla_wwaddw       Rla_wwaddw
dlabad           Rlabad
dlabrd           Rlabrd
dlacn2           Rlacn2
dlacon           Rlacon
dlacpy           Rlacpy
dladiv           Rladiv
dlae2            Rlae2
dlaebz           Rlaebz
dlaed0           Rlaed0
dlaed1           Rlaed1
dlaed2           Rlaed2
dlaed3           Rlaed3
dlaed4           Rlaed4
dlaed5           Rlaed5
dlaed6           Rlaed6
dlaed7           Rlaed7
dlaed8           Rlaed8
dlaed9           Rlaed9
dlaeda           Rlaeda
dlaein           Rlaein
dlaev2           Rlaev2
dlaexc           Rlaexc
dlag2            Rlag2
dlag2s           Rlag2s
dlags2           Rlags2
dlagtf           Rlagtf
dlagtm           Rlagtm
dlagts           Rlagts
dlagv2           Rlagv2
dlahqr           Rlahqr
dlahr2           Rlahr2
dlaic1           Rlaic1
dlaisnan         Rlaisnan
dlaln2           Rlaln2
dlals0           Rlals0
dlalsa           Rlalsa
dlalsd           Rlalsd
dlamrg           Rlamrg
dlamswlq         Rlamswlq
dlamtsqr         Rlamtsqr
dlaneg           Rlaneg
dlangb           Rlangb
dlange           Rlange
dlangt           Rlangt
dlanhs           Rlanhs
dlansb           Rlansb
dlansf           Rlansf
dlansp           Rlansp
dlanst           Rlanst
dlansy           Rlansy
dlantb           Rlantb
dlantp           Rlantp
dlantr           Rlantr
dlanv2           Rlanv2
dlaorhr_col_getrfnp Rlaorhr_col_getrfnp
dlaorhr_col_getrfnp2 Rlaorhr_col_getrfnp2
dlapll           Rlapll
dlapmr           Rlapmr
dlapmt           Rlapmt
dlapy2           Rlapy2
dlapy3           Rlapy3
dlaqgb           Rlaqgb
dlaqge           Rlaqge
dlaqp2           Rlaqp2
dlaqps           Rlaqps
dlaqr0           Rlaqr0
dlaqr1           Rlaqr1
dlaqr2           Rlaqr2
dlaqr3           Rlaqr3
dlaqr4           Rlaqr4
dlaqr5           Rlaqr5
dlaqsb           Rlaqsb
dlaqsp           Rlaqsp
dlaqsy           Rlaqsy
dlaqtr           Rlaqtr
dlar1v           Rlar1v
dlar2v           Rlar2v
dlarf            Rlarf
dlarfb           Rlarfb
dlarfb_gett      Rlarfb_gett
dlarfg           Rlarfg
dlarfgp          Rlarfgp
dlarft           Rlarft
dlarfx           Rlarfx
dlarfy           Rlarfy
dlargv           Rlargv
dlarnv           Rlarnv
dlarra           Rlarra
dlarrb           Rlarrb
dlarrc           Rlarrc
dlarrd           Rlarrd
dlarre           Rlarre
dlarrf           Rlarrf
dlarrj           Rlarrj
dlarrk           Rlarrk
dlarrr           Rlarrr
dlarrv           Rlarrv
dlarscl2         Rlarscl2
dlartg           Rlartg
dlartgp          Rlartgp
dlartgs          Rlartgs
dlartv           Rlartv
dlaruv           Rlaruv
dlarz            Rlarz
dlarzb           Rlarzb
dlarzt           Rlarzt
dlas2            Rlas2
dlascl           Rlascl
dlascl2          Rlascl2
dlasd0           Rlasd0
dlasd1           Rlasd1
dlasd2           Rlasd2
dlasd3           Rlasd3
dlasd4           Rlasd4
dlasd5           Rlasd5
dlasd6           Rlasd6
dlasd7           Rlasd7
dlasd8           Rlasd8
dlasda           Rlasda
dlasdq           Rlasdq
dlasdt           Rlasdt
dlaset           Rlaset
dlasq1           Rlasq1
dlasq2           Rlasq2
dlasq3           Rlasq3
dlasq4           Rlasq4
